timestamp,exchange,symbol,timeframe,setups,direction,close,volume,atr_pct,high_volatility,mtf_confirmed,score
2026-03-20T06:56:59.164762+00:00,KUCOIN,ATH/USDT,3m,rsi_overbought,mixed,0.007133,164233.0,0.4299293587818919,False,False,1
2026-03-20T06:56:59.347930+00:00,KUCOIN,ATH/USDT,5m,rsi_overbought,mixed,0.007133,150183.8,0.47165152606213,False,False,1
2026-03-20T06:56:59.538793+00:00,KUCOIN,ATH/USDT,15m,rsi_overbought,mixed,0.007133,597338.6,0.7541839248128903,True,True,2
2026-03-20T06:56:59.929589+00:00,KUCOIN,ATH/USDT,4h,bullish_engulfing,bullish,0.007133,4363540.3,3.929224805530894,True,True,2
2026-03-20T06:57:15.522281+00:00,KUCOIN,AZTEC/USDT,4h,bearish_engulfing,bearish,0.02172,182136.8,2.9220908795485623,True,True,2
2026-03-20T06:57:18.953774+00:00,KUCOIN,BABY/USDT,4h,bullish_engulfing,bullish,0.01299,2944656.1,3.2772989146119715,True,True,2
2026-03-20T06:57:28.657462+00:00,KUCOIN,BAX/USDT,1m,rsi_oversold,mixed,1.628e-05,288997.9619,0.07044285046363233,False,False,1
2026-03-20T06:57:33.223021+00:00,KUCOIN,BCUT/USDT,4h,bearish_engulfing,bearish,0.002027,705573.0,5.150672645202246,True,True,2
2026-03-20T06:57:47.466278+00:00,OKX,A/USDT:USDT,15m,bullish_engulfing,bullish,0.08179,559830.0,0.5717776100396165,True,True,2
2026-03-20T06:57:53.264332+00:00,OKX,ACH/USDT:USDT,15m,bullish_engulfing,bullish,0.00703,383700.0,0.3974791780725334,False,False,1
2026-03-20T06:57:54.371835+00:00,OKX,ACT/USDT,1h,bearish_engulfing,bearish,0.0138,171125.239,0.8380285169452646,True,True,2
2026-03-20T06:57:55.409710+00:00,OKX,ACT/USDT:USDT,1h,bearish_engulfing,bearish,0.01378,2608307.0,0.936756740751573,True,True,2
2026-03-20T06:57:56.312337+00:00,OKX,ACU/USDT:USDT,1h,rsi_oversold,mixed,0.08487,440000.0,1.405258595022682,True,True,2
2026-03-20T06:57:56.474239+00:00,OKX,ACU/USDT:USDT,4h,rsi_oversold,mixed,0.08487,1855870.0,3.2812455126753055,True,True,2
2026-03-20T06:57:57.222036+00:00,OKX,ADA/USDT,1h,bearish_engulfing,bearish,0.2704,308984.3926,0.9009317450519204,True,True,2
2026-03-20T06:57:58.131061+00:00,OKX,ADA/USDT:USDT,1h,bearish_engulfing,bearish,0.27,3673110.0,0.9212077034326293,True,True,2
2026-03-20T06:58:04.447251+00:00,OKX,AGLD/USDT:USDT,4h,bearish_engulfing,bearish,0.2413,417279.0,2.4923128453367744,True,True,2
